Solubility,smiles,Inchi_Key
-6.3777384512,COC(=O)c1cc(N=NC(C(C)=O)C(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)cc(C(=O)OC)c1,IHRACTUONPFMSI-UHFFFAOYSA-N
-2.3,CCOc1ccc(NC(C)=O)cc1,CPJSUEIXXCENMM-UHFFFAOYSA-N
-0.6586987459,CCCCCCOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,JVAZJLFFSJARQM-OZRWLHRGSA-N
-6.4939,CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],OQMBBFQZGJFLBU-UHFFFAOYSA-N
-0.3879999999999999,Cc1cccc(CO)c1,JJCKHVUTVOPLBV-UHFFFAOYSA-N
0.1,CC(C)(C)OC(N)=O,LFKDJXLFVYVEFG-UHFFFAOYSA-N
-6.3001,Clc1ccccc1-c1c(Cl)ccc(Cl)c1Cl,VHGHHZZTMJLTJX-UHFFFAOYSA-N
-3.8064830067,CC(C)CCCC(C)CC=O,UCSIFMPORANABL-UHFFFAOYSA-N
-2.2334403365,O=C(O)c1cccc2cccc(-c3cccc4cccc(C(=O)O)c34)c12,XGDAODQNSVFBGM-UHFFFAOYSA-N
-0.7353,CNC(=O)O/N=C(/C)C(C)SC,SFNPDDSJBGRXLW-UITAMQMPSA-N
-1.7,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-N
-4.35,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,RGLYKWWBQGJZGM-UHFFFAOYSA-N
-7.8250730454,Cc1cc(C)c(Nc2ccc(Nc3c(C)cc(C)cc3C)c3c2C(=O)c2ccccc2C3=O)c(C)c1,DMDRBXCDTZRMHZ-UHFFFAOYSA-N
-2.4,Nc1c2ccccc2nc2ccc(F)cc12,HOVVFNPKGWZRTE-UHFFFAOYSA-N
-6.51,Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1,QORAVNMWUNPXAO-UHFFFAOYSA-N
0.2893,NC(=O)C1CCCC(C(N)=O)N1,LOVQGUOGVLKMQT-UHFFFAOYSA-N
-0.5809,NC(=O)NCC(=O)O,KZVRXPPUJQRGFN-UHFFFAOYSA-N
-7.14,Clc1ccc(Oc2cc(Cl)cc(Cl)c2Cl)cc1,YHQRYZGDQCSHFO-UHFFFAOYSA-N
-5.2917,CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1Cl,GQKRUMZWUHSLJF-NTCAYCPXSA-N
-4.86,CC(=O)c1cccc(Nc2ccccc2C(=O)O)c1,URNBQFPUGNNQRC-UHFFFAOYSA-N
-3.0319,CC1=CC(=O)c2ccccc2C1=O,MJVAVZPDRWSRRC-UHFFFAOYSA-N
-2.8833112394,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1,HBZVNWNSRNTWPS-UHFFFAOYSA-N
-0.6537301416,O=S(=O)(O)OOS(=O)(=O)O,USHAGKDGDHPEEY-UHFFFAOYSA-L
-8.3860948559,CCN(CCOc1ccc(C2CCCCC2)cc1)c1ccc(C=C(C#N)C#N)c(C)c1,NQAJBKZEQYYFGK-UHFFFAOYSA-N
-3.853,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,MXXWOMGUGJBKIW-YPCIICBESA-N
-2.09,C=CC=C(C)C=CC=CC,JXQNEJRKTHOCGQ-UHFFFAOYSA-N
-2.29,O=S(=O)(c1cccc(O)c1)c1ccccc1O,AQHJGSVRTSBTKR-UHFFFAOYSA-N
-1.54,O=c1[nH]c(CN2CCCC2)c(Cl)c(=O)[nH]1,UMNZZEWMRNSNIH-UHFFFAOYSA-N
-3.41,O=C(O)C(SCCSC(C(=O)O)c1ccccc1)c1ccccc1,UAFWZTUMPCUHHG-UHFFFAOYSA-N
-3.31,Cn1c(=O)c2c(nc(-c3ccccc3)n2C)n(C)c1=O,MBYIBRUTNFFDFL-UHFFFAOYSA-N
-3.83,CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)COc2ccccc2)CSC1(C)C,GPNZSHBQHQEFRS-UHFFFAOYSA-N
-2.0550171187,CCCCC(CC)COCC(O)CO,NCZPCONIKBICGS-UHFFFAOYSA-N
-0.3838981351,O=C(O)CS,QVCFQEFEMBCIOI-UHFFFAOYSA-M
-0.242535631,O=S(=O)(O)c1cc(O)c2ccc3c(S(=O)(=O)O)cc(S(=O)(=O)O)c4ccc1c2c34,KXXXUIKPSVVSAW-UHFFFAOYSA-K
-2.35,NCCNc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,MDPYJIRMYGKJHU-UHFFFAOYSA-N
-1.9122,CCc1nc2nc[nH]c(=O)c2nc1CC,WIUUIGUJULBTKD-UHFFFAOYSA-N
-5.1495,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,RFDAIACWWDREDC-FRVQLJSFSA-N
-2.7359,CNC(=O)Sc1ccc(OS(C)(=O)=O)cc1,IXJOSTZEBSTPAG-UHFFFAOYSA-N
-1.53,NCc1ccccc1,WGQKYBSKWIADBV-UHFFFAOYSA-N
-6.8235536072,CCCCCCC(O)CCCCCCCCCCC(=O)O,FPLIHVCWSXLMPX-UHFFFAOYSA-M
-2.56,NC(CSCC(N)C(=O)O)C(=O)O,DWPCPZJAHOETAG-UHFFFAOYSA-N
-5.35,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,RQZAXGRLVPAYTJ-UHFFFAOYSA-N
-2.7078,O=C1Cc2c(ccc3ccccc23)O1,KVLORZFYGDNPIQ-UHFFFAOYSA-N
-2.0985,CCOC(=O)c1c[nH]c(=S)[nH]c1=O,FQFSHLBWRUOCPX-UHFFFAOYSA-N
-2.48,Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)Cc1ccccc1,CEOILGDNBOGUIQ-UHFFFAOYSA-N
0.1474,C=CC#N,NLHHRLWOUZZQLW-UHFFFAOYSA-N
-4.8285219564,CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(O)cc4)CC3)cc2)c1=O,FFAQILVGBAELHN-UHFFFAOYSA-N
-0.5256786207,Nc1ccc(N=Nc2ccc(NS(=O)(=O)c3ccc(N=Nc4c(S(=O)(=O)O)cc5cc(S(=O)(=O)O)c(N=Nc6ccc([N+](=O)[O-])cc6)c(N)c5c4O)cc3)cc2)c(N)c1,UMXKOPCQCFDBHS-UHFFFAOYSA-L
-1.0872511921,CCCCOP(=O)(O)OCCCC,JYFHYPJRHGVZDY-UHFFFAOYSA-N
0.3926664196,C[N+](CCO)(CCO)CCO,WLTHPEHYBIKNHR-UHFFFAOYSA-M
0.9544,C=CC(N)=O,HRPVXLWXLXDGHG-UHFFFAOYSA-N
-4.2367225564,CCCCC(CC)CNCC(CC)CCCC,SAIKULLUBZKPDA-UHFFFAOYSA-N
-4.8,COc1cccc(Nc2ccccc2C(=O)O)c1,SSRGDXQQJKAWKX-UHFFFAOYSA-N
-2.6756730859,C=CCCC,YWAKXRMUMFPDSH-UHFFFAOYSA-N
0.8466851642000001,OC/C=C\CO,ORTVZLZNOYNASJ-UPHRSURJSA-N
-2.2,C=CCSC(CCC(SCC=C)C(=O)O)C(=O)O,WOINBLKRRRAPGG-UHFFFAOYSA-N
-4.1007061575,CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC21CCC(=O)O1,UJVLDDZCTMKXJK-UHFFFAOYSA-N
0.1165037469,CC(C)=CC=O,SEPQTYODOKLVSB-UHFFFAOYSA-N
0.804,COC(=O)C1CC(=O)N(C)C1,JFZRRXGXEHUJCI-UHFFFAOYSA-N
-2.5631304762,Nc1ccc(Nc2ccccc2)cc1,ATGUVEKSASEFFO-UHFFFAOYSA-N
-7.284910561499999,CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)[C@H]1OC[C@@H](O)[C@@H]1OC(=O)CCCCCCCCCCCCCCCCC,IJCWFDPJFXGQBN-BIFNRIDTSA-N
-7.1806,Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2,WMWJCKBJUQDYLM-UHFFFAOYSA-N
-4.43,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,RJKFOVLPORLFTN-UHFFFAOYSA-N
-0.8053203897,CCN(CC)c1cc2[o+]c3cc(N(CC)CC)c(C)cc3c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)O)c2cc1C,XJENLUNLXRJLEZ-UHFFFAOYSA-M
-3.7398163758,COC(=O)c1ccc(C(C)(C)C)cc1,UPIJOAFHOIWPLT-UHFFFAOYSA-N
-1.39,OC(c1ccccc1)(c1ccccc1)C1CCNCC1,ZMISODWVFHHWNR-UHFFFAOYSA-N
-7.3,Brc1cc(Br)c(-c2ccccc2)c(Br)c1,YCLZBYQDXVJFII-UHFFFAOYSA-N
-1.57,COCCN(CCOC)C(=O)COC(=O)c1ccccc1,LJCFRMUKLSCNKV-UHFFFAOYSA-N
-7.316,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,MTCPZNVSDFCBBE-UHFFFAOYSA-N
-4.3079108614,CC(=O)Nc1cccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)c1,MIBVDSFVCOIWCC-UHFFFAOYSA-M
-5.32,NC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,CTJMNBROBOZHAP-UHFFFAOYSA-N
-4.7793105096,C=CCCC(=O)C1CCCC(C)(C)C1,OHYNEUHOSWPWLZ-UHFFFAOYSA-N
